District,Municipality,Administrative Unit,PS,PD,Other Parties,Invalid Ballots,Eligible Voters,Total Eligible Votes,Total Votes,Turnout
Fier,Mallakaster,Ballsh,1699,1596,537,181,8722,3832,4013,0.4601008942903004
Fier,Mallakaster,Fratar,933,555,177,120,3819,1665,1785,0.4673998428908091
Fier,Mallakaster,Greshice,293,144,122,41,1465,559,600,0.40955631399317405
Fier,Mallakaster,Hekal,790,561,110,84,3584,1461,1545,0.4310825892857143
Fier,Mallakaster,Kute,591,304,80,67,2401,975,1042,0.43398583923365264
Fier,Mallakaster,Ngracan,108,132,29,17,627,269,286,0.45614035087719296
Fier,Mallakaster,Qender-Mallakaster,1167,1497,337,234,6523,3001,3235,0.49593745209259543
Fier,Mallakaster,Selite Mallakaster,219,185,51,24,1056,455,479,0.45359848484848486
Fier,Patos,Patos,5209,3331,986,429,25246,9526,9955,0.39431989226016
Fier,Patos,Ruzhdie,645,471,70,91,2435,1186,1277,0.524435318275154
Fier,Patos,Zharres,1853,1309,265,195,6827,3427,3622,0.5305405009521019
Fier,Roskovec,Kuman,1481,1224,191,171,6607,2896,3067,0.4642046314514908
Fier,Roskovec,Kurjan,1161,642,162,81,4052,1965,2046,0.5049358341559723
Fier,Roskovec,Roskovec,1625,1327,170,136,7251,3122,3258,0.44931733553992553
Fier,Roskovec,Strum,2009,1751,174,132,7366,3934,4066,0.5519956557154494
Gjirokaster,Dropull,Dropull Poshte,802,295,285,93,8229,1382,1475,0.17924413659010816
Gjirokaster,Dropull,Dropull Siper,555,261,293,80,9046,1109,1189,0.13143931019235022
Gjirokaster,Dropull,Pogon,149,48,81,10,2685,278,288,0.10726256983240223
Gjirokaster,Gjirokaster,Antigone,385,198,92,21,1419,675,696,0.4904862579281184
Gjirokaster,Gjirokaster,Cepo,796,581,222,52,3555,1599,1651,0.4644163150492264
Gjirokaster,Gjirokaster,Gjirokaster,7176,3401,1803,504,28130,12380,12884,0.45801635264841806
Gjirokaster,Gjirokaster,Lazarat,94,1599,137,46,2734,1830,1876,0.6861741038771031
Gjirokaster,Gjirokaster,Lunxheri,779,362,202,44,4439,1343,1387,0.3124577607569272
Gjirokaster,Gjirokaster,Odrie,174,109,46,1,1398,329,330,0.23605150214592274
Gjirokaster,Gjirokaster,Picar,363,286,121,44,1519,770,814,0.5358788676761027
Gjirokaster,Kelcyre,Ballaban,273,217,35,29,1501,525,554,0.3690872751499001
Gjirokaster,Kelcyre,Dishnice,354,224,110,30,1842,688,718,0.38979370249728557
Gjirokaster,Kelcyre,Kelcyre,759,531,292,99,4096,1582,1681,0.410400390625
Gjirokaster,Kelcyre,Suke,437,131,166,35,1980,734,769,0.3883838383838384
Gjirokaster,Libohove,Libohove,580,603,114,82,2685,1297,1379,0.5135940409683426
Gjirokaster,Libohove,Qender-Libohove,453,233,146,48,2366,832,880,0.37193575655114114
Gjirokaster,Libohove,Zagori,123,65,26,12,813,214,226,0.2779827798277983
Gjirokaster,Memaliaj,Buz,249,116,54,14,975,419,433,0.4441025641025641
Gjirokaster,Memaliaj,F. Memaliaj,601,209,181,80,2117,991,1071,0.5059045819555975
Gjirokaster,Memaliaj,Krahes,569,211,349,103,2958,1129,1232,0.4164976335361731
Gjirokaster,Memaliaj,Luftinje,515,195,223,65,2531,933,998,0.39431054919004344
Gjirokaster,Memaliaj,Memaliaj,857,513,239,114,5365,1609,1723,0.3211556383970177
Gjirokaster,Memaliaj,Qesarat,480,160,142,35,1875,782,817,0.4357333333333333
Gjirokaster,Permet,Carcove,312,182,57,28,2321,551,579,0.24946143903489876
Gjirokaster,Permet,Frasher,110,62,14,19,465,186,205,0.44086021505376344
Gjirokaster,Permet,Permet,2062,1053,406,212,8346,3521,3733,0.44728013419602203
Gjirokaster,Permet,Petran,501,427,80,44,2525,1008,1052,0.4166336633663366
Gjirokaster,Permet,Qender-Piskove,663,300,171,53,2548,1134,1187,0.46585557299843017
Gjirokaster,Tepelene,Kurvelesh,286,135,52,31,1074,473,504,0.4692737430167598
Gjirokaster,Tepelene,Lopes,275,171,33,15,935,479,494,0.5283422459893048
Gjirokaster,Tepelene,Qender-Tepelene,1155,368,425,108,4292,1948,2056,0.4790307548928239
Gjirokaster,Tepelene,Tepelene,1717,758,483,166,6506,2958,3124,0.4801721487857362
Korce,Devoll,Bilisht,2062,1961,507,169,8594,4530,4699,0.5467768210379335
Korce,Devoll,Hocisht,1228,1227,255,107,5429,2710,2817,0.5188800884140726
Korce,Devoll,Miras,1821,1734,295,153,7868,3850,4003,0.5087697000508389
Korce,Devoll,Proger,951,1229,191,101,4770,2371,2472,0.5182389937106918
Korce,Devoll,Qender-Bilisht,1363,1468,245,159,6980,3076,3235,0.46346704871060174
Korce,Kolonje,Barmash,150,92,35,12,546,277,289,0.5293040293040293
