"PollingStation","No","Party","Votes"
"0069","2","PBK","1"
"0069","3","PLDSH","0"
"0069","4","BD","3"
"0069","5","ABEOK","0"
"0069","6","LSI","7"
"0069","7","NTH","1"
"0069","8","LRE","1"
"0069","9","PDAN","93"
"0069","10","ADR","0"
"0069","11","LN","1"
"0069","12","PS","125"
"0069","13","Other","0"
"0072","1","PSD","14"
"0072","2","PBK","4"
"0072","3","PLDSH","0"
"0072","4","BD","10"
"0072","5","ABEOK","1"
"0072","6","LSI","9"
"0072","7","NTH","0"
"0072","8","LRE","0"
"0072","9","PDAN","84"
"0072","10","ADR","4"
"0072","11","LN","6"
"0072","12","PS","98"
"0072","13","Other","0"
"0074","1","PSD","7"
"0074","2","PBK","0"
"0074","3","PLDSH","0"
"0074","4","BD","0"
"0074","5","ABEOK","0"
"0074","6","LSI","4"
"0074","7","NTH","0"
"0074","8","LRE","0"
"0074","9","PDAN","107"
"0074","10","ADR","1"
"0074","11","LN","3"
"0074","12","PS","150"
"0074","13","Other","0"
"0075","1","PSD","27"
"0075","2","PBK","0"
"0075","3","PLDSH","1"
"0075","4","BD","2"
"0075","5","ABEOK","0"
"0075","6","LSI","4"
"0075","7","NTH","0"
"0075","8","LRE","0"
"0075","9","PDAN","106"
"0075","10","ADR","1"
"0075","11","LN","1"
"0075","12","PS","115"
"0075","13","Other","0"
"0077","1","PSD","20"
"0077","2","PBK","0"
"0077","3","PLDSH","0"
"0077","4","BD","0"
"0077","5","ABEOK","0"
"0077","6","LSI","9"
"0077","7","NTH","10"
"0077","8","LRE","0"
"0077","9","PDAN","159"
"0077","10","ADR","0"
"0077","11","LN","2"
"0077","12","PS","77"
"0077","13","Other","0"
"00771","1","PSD","24"
"00771","2","PBK","1"
"00771","3","PLDSH","1"
"00771","4","BD","0"
"00771","5","ABEOK","0"
"00771","6","LSI","25"
"00771","7","NTH","0"
"00771","8","LRE","0"
"00771","9","PDAN","151"
"00771","10","ADR","0"
"00771","11","LN","3"
"00771","12","PS","34"
"00771","13","Other","0"
"0079","1","PSD","28"
"0079","2","PBK","0"
"0079","3","PLDSH","0"
"0079","4","BD","0"
"0079","5","ABEOK","0"
"0079","6","LSI","11"
"0079","7","NTH","0"
"0079","8","LRE","0"
"0079","9","PDAN","90"
"0079","10","ADR","0"
"0079","11","LN","1"
"0079","12","PS","30"
"0079","13","Other","0"
"00791","1","PSD","29"
"00791","2","PBK","0"
"00791","3","PLDSH","0"
"00791","4","BD","0"
"00791","5","ABEOK","0"
"00791","6","LSI","0"
"00791","7","NTH","0"
"00791","8","LRE","0"
"00791","9","PDAN","69"
"00791","10","ADR","0"
"00791","11","LN","0"
"00791","12","PS","12"
"00791","13","Other","0"
"0081","1","PSD","42"
"0081","2","PBK","0"
"0081","3","PLDSH","0"
"0081","4","BD","0"
"0081","5","ABEOK","0"
"0081","6","LSI","3"
"0081","7","NTH","0"
"0081","8","LRE","0"
"0081","9","PDAN","108"
"0081","10","ADR","0"
"0081","11","LN","0"
"0081","12","PS","77"
"0081","13","Other","0"
"0082","1","PSD","63"
"0082","2","PBK","0"
"0082","3","PLDSH","0"
"0082","4","BD","0"
"0082","5","ABEOK","0"
"0082","6","LSI","4"
"0082","7","NTH","0"
"0082","8","LRE","0"
"0082","9","PDAN","99"
"0082","10","ADR","0"
"0082","11","LN","0"
"0082","12","PS","5"
"0082","13","Other","0"
"0083","1","PSD","23"
"0083","2","PBK","0"
"0083","3","PLDSH","0"
"0083","4","BD","0"
"0083","5","ABEOK","0"
"0083","6","LSI","9"
"0083","7","NTH","1"
"0083","8","LRE","0"
"0083","9","PDAN","145"
"0083","10","ADR","0"
"0083","11","LN","0"
"0083","12","PS","41"
"0083","13","Other","0"
"0084","1","PSD","51"
"0084","2","PBK","1"
"0084","3","PLDSH","0"
"0084","4","BD","1"
"0084","5","ABEOK","0"
"0084","6","LSI","29"
"0084","7","NTH","1"
"0084","8","LRE","0"
"0084","9","PDAN","98"
"0084","10","ADR","0"
"0084","11","LN","4"
"0084","12","PS","108"
"0084","13","Other","0"
"0085","1","PSD","50"
"0085","2","PBK","0"
"0085","3","PLDSH","0"
"0085","4","BD","1"
"0085","5","ABEOK","0"
"0085","6","LSI","19"
"0085","7","NTH","0"
"0085","8","LRE","3"
"0085","9","PDAN","173"
"0085","10","ADR","0"
"0085","11","LN","0"
"0085","12","PS","131"
"0085","13","Other","0"
"0086","1","PSD","8"
"0086","2","PBK","0"
"0086","3","PLDSH","0"
"0086","4","BD","0"
"0086","5","ABEOK","0"
"0086","6","LSI","18"
"0086","7","NTH","0"
"0086","8","LRE","0"
"0086","9","PDAN","217"
"0086","10","ADR","1"
